title,artist,bpm,key,duration_sec,rating,energy,genre,comments,play_count
Love Line,"Shift K3Y, Tinashe",123,8A,206,4,6.5,UK Garage,warm vocal opener,12
Lady Love,"Oden & Fatzo, Camden Cox",124,8A,228,4,6.8,House,groovy,9
Paradise,TRFN,124,9A,192,3,6.7,House,,5
Rainbow,ATRIP,125,9A,220,4,7.2,UK Garage,,8
Games,Tony Dark Eyes,126,10A,198,4,7.5,House,,7
Just The Way You Are,"Milky, PNAU",126,10B,214,4,7.7,Dance,,11
Freaky Deaky,"Tyga, Doja Cat",127,10A,215,3,7.4,Dance,,4
Do It To It,"ACRAZE, Cherish",128,11A,157,5,8.5,House,club banger,20
Saving Up,Dom Dolla,128,11A,217,5,9.0,House,peak,25
BIG UP,INJI,130,12A,188,5,9.2,Dance,peak anthem,17
Rush,Troye Sivan,130,12B,156,4,8.8,Dance,,15
Padam Padam,Kylie Minogue,128,11B,166,4,8.2,Dance,closer,18
